yas,gelir,toplam_borc,kredi_notu,calisma_suresi,ev_durumu,risk_durumu
62,19613.03,18877.86,505,23,Kiraci,1
18,67943.25,8229.15,339,15,Ev Sahibi,1
42,42629.88,9851.6,358,24,Kiraci,1
24,38596.78,23239.69,806,12,Kiraci,1
26,29818.43,12321.8,421,24,Ev Sahibi,1
41,20177.15,11770.81,778,21,Aile,1
18,57347.56,7359.02,395,21,Aile,1
61,46099.77,18388.79,713,24,Aile,0
25,25650.59,31500.2,534,19,Ev Sahibi,1
41,25573.82,6459.74,361,21,Aile,1
28,39963.23,15193.76,555,3,Kiraci,1
34,70035.32,26297.76,647,10,Aile,0
25,41106.13,14362.87,423,16,Ev Sahibi,1
52,22452.86,18618.97,781,6,Aile,1
52,41313.85,6500.85,616,13,Kiraci,0
50,40909.15,18426.46,803,10,Ev Sahibi,1
22,15000.0,13502.85,347,21,Aile,1
59,44185.58,22885.84,708,8,Ev Sahibi,1
56,41535.98,24499.09,435,22,Ev Sahibi,1
58,55443.1,35716.51,500,12,Ev Sahibi,1
45,72734.34,19637.07,549,22,Aile,1
24,61898.48,17606.37,613,17,Ev Sahibi,0
26,40966.67,16555.07,667,10,Aile,1
25,28402.11,12174.67,728,14,Kiraci,1
29,83600.4,17707.87,779,24,Aile,0
51,45888.28,12636.79,613,24,Kiraci,0
50,45208.94,16347.69,799,21,Aile,0
40,44638.12,25540.78,654,18,Ev Sahibi,1
41,47971.27,6947.66,784,0,Aile,0
54,42834.59,24119.03,510,3,Ev Sahibi,1
52,36395.07,25536.92,343,13,Kiraci,1
61,36797.12,14055.45,840,13,Aile,0
57,44508.7,0.0,391,2,Ev Sahibi,1
39,36848.63,10137.42,564,16,Kiraci,1
44,34307.31,25375.96,519,2,Kiraci,1
52,46596.45,14817.06,741,15,Aile,0
18,41175.34,7005.58,700,13,Kiraci,0
52,67559.89,10961.8,699,19,Ev Sahibi,0
54,15000.0,21724.96,789,12,Kiraci,1
64,61372.6,19373.87,784,14,Kiraci,0
31,63691.28,13088.54,769,13,Ev Sahibi,0
20,15000.0,12065.4,744,23,Kiraci,1
18,39859.69,11865.93,568,24,Kiraci,1
22,39428.39,7620.72,566,18,Kiraci,1
43,23887.32,27923.01,353,5,Kiraci,1
31,33332.75,12421.44,827,9,Ev Sahibi,0
56,28341.36,24737.27,819,14,Kiraci,1
44,71284.06,27170.53,358,20,Ev Sahibi,1
26,59035.18,22986.49,339,21,Kiraci,1
32,64073.33,11547.04,536,19,Kiraci,1
32,55825.08,18229.84,685,5,Kiraci,0
43,28064.22,14806.44,599,22,Kiraci,1
59,37132.2,7770.39,694,24,Ev Sahibi,0
30,52340.62,17594.87,506,9,Ev Sahibi,1
49,26668.08,5567.68,635,6,Ev Sahibi,0
56,55694.98,24501.44,813,21,Aile,1
49,41395.12,11283.06,477,16,Kiraci,1
21,39377.69,16609.28,695,17,Kiraci,1
47,55664.4,17266.3,670,16,Ev Sahibi,0
54,51663.95,12928.76,617,8,Aile,0
40,39585.51,19693.55,668,9,Kiraci,1
56,62389.95,11200.77,683,9,Ev Sahibi,0
62,28784.05,21970.38,361,24,Kiraci,1
32,54239.03,4232.16,804,6,Kiraci,0
60,53896.52,16011.04,538,15,Ev Sahibi,1
46,40356.8,30511.43,494,17,Ev Sahibi,1
53,49892.0,6997.35,521,5,Kiraci,1
30,26233.3,9578.04,360,19,Kiraci,1
49,58860.41,19111.26,428,0,Ev Sahibi,1
24,42226.47,16436.65,455,0,Kiraci,1
39,37159.15,17805.04,677,11,Kiraci,1
45,60735.14,18913.5,736,20,Ev Sahibi,0
19,34434.84,20077.77,506,1,Kiraci,1
59,23873.08,23877.6,687,3,Kiraci,1
62,21650.56,18278.55,779,16,Aile,1
23,54090.15,13069.94,639,3,Ev Sahibi,0
45,25793.56,20380.59,639,10,Aile,1
45,71321.91,30199.06,503,21,Aile,1
61,15000.0,13938.93,460,3,Aile,1
61,70446.85,7203.77,839,0,Kiraci,0
37,48165.26,23856.65,691,6,Kiraci,1
47,43549.3,14036.95,833,17,Aile,0
28,36826.21,0.0,369,8,Aile,1
45,50987.04,21779.37,704,2,Aile,1
42,44435.48,10717.37,816,7,Kiraci,0
56,61549.53,14275.73,419,23,Aile,1
50,46713.41,17655.84,516,18,Aile,1
18,47254.53,16524.0,355,3,Ev Sahibi,1
44,39545.82,20675.61,665,17,Ev Sahibi,1
30,44145.82,11516.11,803,19,Kiraci,0
58,49617.03,19104.85,754,10,Ev Sahibi,0
20,19347.47,12923.63,403,13,Ev Sahibi,1
56,24777.22,20910.48,376,24,Ev Sahibi,1
23,56148.96,19922.94,529,17,Kiraci,1
25,47562.98,7516.49,557,15,Ev Sahibi,1
44,42240.25,23687.86,563,2,Kiraci,1
26,45276.51,10712.29,630,14,Aile,0
54,50213.73,21464.46,481,3,Ev Sahibi,1
50,36903.6,17938.3,849,4,Kiraci,1
59,33325.43,29705.47,326,16,Ev Sahibi,1
61,47937.68,13212.27,575,6,Aile,1
41,30324.41,12205.47,598,15,Kiraci,1
32,51123.79,14844.64,390,13,Kiraci,1
49,19461.25,12574.56,779,15,Kiraci,1
49,60437.33,21399.54,757,6,Aile,0
41,52088.96,2069.52,750,8,Aile,0
58,48840.45,6570.54,664,3,Aile,0
29,59740.36,6457.58,650,21,Kiraci,0
56,69982.12,22602.46,699,10,Aile,0
19,60215.55,28684.91,552,1,Ev Sahibi,1
20,17386.89,14164.41,758,11,Aile,1
54,25806.35,13649.43,798,11,Kiraci,1
34,35627.72,15560.42,807,3,Ev Sahibi,1
19,45391.37,24295.03,603,17,Aile,1
19,52764.89,7581.17,800,20,Ev Sahibi,0
45,34113.84,16906.95,465,6,Ev Sahibi,1
40,47801.5,22801.58,714,0,Kiraci,1
54,33669.26,19008.75,761,22,Ev Sahibi,1
49,35827.23,16516.65,413,12,Ev Sahibi,1
50,23900.08,23008.37,732,5,Kiraci,1
18,31151.5,0.0,655,5,Kiraci,0
36,24724.73,20423.0,506,11,Kiraci,1
19,30361.9,9767.39,534,7,Ev Sahibi,1
61,60804.63,354.94,741,23,Ev Sahibi,0
43,30759.02,19089.62,654,21,Ev Sahibi,1
49,84485.73,25989.27,814,18,Kiraci,0
23,52399.77,13900.41,507,4,Aile,1
49,47772.54,22623.0,424,17,Ev Sahibi,1
21,32124.63,27898.23,437,4,Aile,1
28,55504.65,25519.32,638,24,Kiraci,1
34,36365.43,28119.72,836,9,Ev Sahibi,1
55,46830.15,20937.02,367,0,Aile,1
41,83401.27,15603.47,840,9,Ev Sahibi,0
22,43559.1,2184.27,682,4,Ev Sahibi,0
51,62239.1,13031.5,318,11,Ev Sahibi,1
23,34452.35,8254.03,749,21,Aile,0
39,44475.17,32367.54,373,6,Kiraci,1
28,71562.01,13592.91,575,8,Ev Sahibi,1
33,35595.49,15985.64,347,21,Kiraci,1
50,72186.73,19411.88,510,20,Kiraci,1
26,55616.28,15348.82,839,11,Aile,0
23,36563.0,28560.41,490,22,Aile,1
33,54486.12,10018.81,614,0,Kiraci,0
46,59588.32,16556.86,412,10,Ev Sahibi,1
20,54327.15,9060.24,469,20,Aile,1
37,21446.63,4439.82,767,14,Ev Sahibi,0
53,34092.94,10105.85,313,1,Ev Sahibi,1
36,41287.22,14703.71,587,19,Ev Sahibi,0
43,43883.5,11565.58,488,6,Kiraci,1
20,54310.08,9460.63,454,20,Ev Sahibi,1
36,47665.52,3749.46,770,11,Kiraci,0
37,24969.83,14335.16,374,21,Kiraci,1
49,50702.97,2962.24,576,17,Ev Sahibi,1
24,54158.79,21080.45,642,2,Ev Sahibi,0
58,53396.86,15659.52,724,6,Ev Sahibi,0
50,61211.71,3339.59,810,10,Ev Sahibi,0
57,57508.83,12526.33,481,17,Kiraci,1
56,51887.7,8982.75,757,11,Ev Sahibi,0
35,43947.51,17553.4,363,5,Ev Sahibi,1
57,20085.59,25723.6,559,4,Kiraci,1
18,51444.27,0.0,492,0,Aile,1
28,48115.32,15920.21,705,11,Aile,0
45,49073.68,13718.94,392,10,Kiraci,1
42,25848.77,20370.72,729,3,Aile,1
40,28784.15,16705.57,733,17,Kiraci,1
48,60797.29,8984.25,703,3,Ev Sahibi,0
47,44406.67,12447.57,733,16,Ev Sahibi,0
59,55222.51,8631.79,411,1,Aile,1
52,45424.78,23608.06,674,23,Ev Sahibi,1
24,45446.34,15170.49,358,21,Aile,1
33,59074.26,30209.53,342,1,Aile,1
43,37259.33,14514.71,506,11,Ev Sahibi,1
19,46441.81,9332.75,595,5,Ev Sahibi,0
18,38065.87,2890.28,417,9,Aile,1
29,38482.56,574.88,831,24,Ev Sahibi,0
22,40362.42,2326.91,521,22,Kiraci,1
54,48332.01,17137.01,465,24,Ev Sahibi,1
49,37818.77,19069.8,455,20,Ev Sahibi,1
26,63836.34,2350.47,483,22,Kiraci,1
58,31580.89,22160.31,389,15,Ev Sahibi,1
52,42196.93,11135.51,393,13,Ev Sahibi,1
36,38404.03,16174.34,312,6,Aile,1
33,66704.67,27897.77,737,18,Ev Sahibi,1
20,47948.32,22174.71,837,22,Ev Sahibi,1
37,60477.67,12851.75,449,16,Kiraci,1
41,22716.59,7870.46,307,8,Aile,1
50,49005.75,0.0,328,12,Aile,1
41,58344.46,9246.77,595,21,Aile,0
28,46234.26,13310.96,639,4,Ev Sahibi,0
25,60982.21,7102.56,738,22,Aile,0
53,37240.67,13949.94,443,4,Kiraci,1
55,66140.21,15614.82,818,9,Aile,0
57,79483.47,13201.15,344,20,Kiraci,1
37,39557.42,9799.98,538,9,Aile,1
52,38317.46,16349.24,454,6,Aile,1
42,66800.77,18535.53,480,14,Kiraci,1
52,68693.58,6276.81,514,6,Aile,1
42,37157.1,26287.46,387,14,Aile,1
46,38697.2,14211.29,555,2,Aile,1
35,40773.23,15150.8,810,18,Ev Sahibi,0
63,24833.24,20665.72,372,9,Kiraci,1
35,31220.22,16865.73,478,14,Aile,1
19,29937.89,22625.09,511,2,Kiraci,1
52,33483.04,17296.99,533,5,Kiraci,1
33,44479.73,10100.5,764,11,Kiraci,0
58,48513.22,17892.03,522,14,Aile,1
53,68257.51,5850.19,563,5,Aile,1
50,30024.69,15868.48,506,12,Kiraci,1
21,59764.84,14734.16,665,18,Ev Sahibi,0
50,41790.17,13335.07,575,2,Kiraci,1
31,44258.04,13971.7,679,7,Ev Sahibi,0
38,55122.29,0.0,608,7,Kiraci,0
37,28159.17,10610.2,567,22,Kiraci,1
25,50736.15,15742.76,363,19,Kiraci,1
24,47496.78,16278.85,649,14,Aile,0
20,52386.77,6778.6,793,3,Ev Sahibi,0
34,49337.53,25125.66,822,18,Ev Sahibi,1
50,81829.5,8070.6,397,20,Kiraci,1
29,35433.9,22755.66,370,2,Aile,1
39,37035.05,18417.55,663,12,Aile,1
39,35652.89,9830.18,575,7,Ev Sahibi,1
63,36667.84,29202.49,349,22,Aile,1
47,35439.19,5450.91,657,15,Ev Sahibi,0
55,62835.25,22353.23,784,12,Ev Sahibi,0
55,66307.56,23004.66,383,2,Ev Sahibi,1
62,36438.81,9635.04,595,15,Aile,0
25,32514.67,26139.72,535,8,Ev Sahibi,1
44,52071.23,12999.63,355,13,Ev Sahibi,1
44,36716.65,17309.55,659,12,Kiraci,1
51,54493.98,17082.57,409,20,Ev Sahibi,1
38,48043.85,13925.53,491,24,Ev Sahibi,1
47,22263.84,21486.47,392,6,Kiraci,1
50,68212.58,21347.91,359,14,Kiraci,1
45,71938.17,1011.74,338,6,Aile,1
64,35808.17,25434.72,839,5,Ev Sahibi,1
50,39184.48,1700.06,348,1,Aile,1
22,49287.98,23260.37,719,8,Aile,1
36,50016.85,24013.64,312,21,Kiraci,1
21,54878.16,6272.27,335,23,Aile,1
52,75153.07,11713.49,400,16,Ev Sahibi,1
34,42345.79,6154.36,385,4,Kiraci,1
61,33025.54,13280.63,815,11,Ev Sahibi,1
45,24310.21,12535.73,522,0,Ev Sahibi,1
47,34036.05,21237.28,637,9,Kiraci,1
46,44503.1,25482.47,465,10,Ev Sahibi,1
63,71918.37,26165.47,682,15,Kiraci,0
23,37235.83,10502.66,675,13,Ev Sahibi,0
52,48356.82,13326.23,770,7,Kiraci,0
58,44753.66,1532.49,330,23,Aile,1
54,62825.9,8553.04,674,16,Ev Sahibi,0
41,82903.99,22718.81,310,24,Kiraci,1
46,37036.97,27924.66,601,17,Ev Sahibi,1
63,37658.41,5125.21,395,11,Ev Sahibi,1
48,60662.41,10260.29,489,24,Ev Sahibi,1
52,55228.37,14788.75,752,16,Kiraci,0
50,72700.61,17241.29,491,13,Aile,1
38,53758.92,8523.17,785,15,Aile,0
49,39610.62,18392.49,565,13,Aile,1
40,53859.82,11209.29,723,8,Kiraci,0
50,61630.55,14884.38,427,3,Aile,1
20,57307.23,19370.27,537,24,Kiraci,1
35,52609.11,15051.38,654,22,Ev Sahibi,0
42,61000.12,11508.91,411,10,Ev Sahibi,1
59,62539.43,14123.12,745,5,Aile,0
48,65732.38,14293.1,642,14,Kiraci,0
20,54730.65,12039.91,444,4,Ev Sahibi,1
57,42493.23,12929.63,364,10,Kiraci,1
63,47200.71,27789.18,546,24,Kiraci,1
41,63097.63,19487.36,789,17,Ev Sahibi,0
49,32745.96,12636.16,738,12,Kiraci,0
64,50530.1,20575.64,405,10,Ev Sahibi,1
39,39099.92,12329.44,480,13,Ev Sahibi,1
40,45431.17,24385.0,483,17,Ev Sahibi,1
19,64176.78,17957.14,525,24,Kiraci,1
44,47866.49,14141.58,388,18,Ev Sahibi,1
59,45696.55,18581.74,829,23,Kiraci,1
19,24602.16,2432.99,670,14,Ev Sahibi,0
43,56193.8,5985.86,698,8,Ev Sahibi,0
34,54682.26,5448.6,405,7,Aile,1
57,77448.82,16143.54,570,19,Aile,1
50,40383.33,28860.12,802,0,Aile,1
26,48287.25,32850.4,824,3,Kiraci,1
60,48740.76,20104.41,331,13,Kiraci,1
56,68661.8,19006.76,692,24,Ev Sahibi,0
46,43570.57,591.54,339,1,Ev Sahibi,1
59,49185.32,10658.61,517,15,Ev Sahibi,1
43,54118.45,8697.73,381,2,Ev Sahibi,1
52,47799.14,10033.22,500,7,Kiraci,1
42,38303.5,13654.85,746,5,Ev Sahibi,0
41,47911.35,11223.28,727,15,Ev Sahibi,0
30,61104.48,0.0,337,23,Aile,1
24,29602.27,20983.28,510,15,Ev Sahibi,1
53,46994.55,6418.06,743,6,Ev Sahibi,0
62,34498.19,16913.97,626,12,Ev Sahibi,1
37,62925.7,31592.66,526,12,Kiraci,1
18,22152.2,7644.92,347,4,Aile,1
25,36616.17,0.0,317,24,Ev Sahibi,1
63,50658.18,12711.97,738,19,Ev Sahibi,0
33,68482.86,23807.68,486,21,Aile,1
31,44013.75,30666.78,644,17,Ev Sahibi,1
29,36672.01,5163.6,523,14,Kiraci,1
40,73217.36,18973.59,787,17,Ev Sahibi,0
32,23279.79,11277.52,528,1,Kiraci,1
45,15000.0,14152.41,689,9,Kiraci,1
51,51600.22,36154.75,487,22,Ev Sahibi,1
19,37469.19,2976.24,569,12,Aile,1
49,29681.51,17029.92,609,17,Kiraci,1
40,55625.35,18741.55,431,14,Aile,1
39,48657.01,23686.29,371,11,Ev Sahibi,1
42,36538.82,15783.87,486,14,Kiraci,1
39,25795.43,17464.4,785,12,Ev Sahibi,1
39,58086.86,11866.81,490,17,Aile,1
59,54753.02,17153.02,721,14,Ev Sahibi,0
23,43512.36,12254.46,419,24,Ev Sahibi,1
32,72699.55,19972.58,519,22,Kiraci,1
60,28948.73,12043.12,352,10,Ev Sahibi,1
54,22117.12,18016.8,750,18,Ev Sahibi,1
50,34621.38,14765.9,711,2,Ev Sahibi,1
25,44316.21,24008.4,536,6,Kiraci,1
61,48650.09,14588.85,705,20,Aile,0
61,41381.46,815.74,721,13,Aile,0
22,50280.83,25095.37,546,13,Ev Sahibi,1
56,26226.91,7754.14,371,21,Kiraci,1
21,66656.47,9769.87,484,12,Ev Sahibi,1
23,43767.73,10234.71,305,11,Aile,1
62,61759.44,25995.5,505,23,Kiraci,1
49,50140.88,0.0,843,8,Aile,0
47,51851.3,40101.99,686,0,Aile,1
64,53546.51,23448.45,375,18,Kiraci,1
52,51715.63,16785.91,476,10,Kiraci,1
57,54640.84,14560.85,648,22,Ev Sahibi,0
33,64937.29,17284.43,554,21,Ev Sahibi,1
30,47947.82,19168.98,607,22,Aile,0
59,55635.06,20161.72,644,23,Kiraci,0
47,43653.96,19444.84,426,21,Kiraci,1
36,66601.76,15716.65,586,18,Ev Sahibi,0
34,34854.12,13421.29,786,17,Aile,0
36,72014.11,13789.81,682,11,Aile,0
45,44397.63,13440.73,705,22,Ev Sahibi,0
43,23538.37,24070.16,687,0,Kiraci,1
54,46921.57,19748.45,824,18,Ev Sahibi,1
43,34784.23,0.0,575,19,Ev Sahibi,1
40,57609.65,20247.21,799,16,Ev Sahibi,0
26,35210.64,16557.89,636,4,Ev Sahibi,1
29,38307.25,14850.33,780,2,Kiraci,0
18,16656.89,11891.85,572,1,Ev Sahibi,1
18,38215.41,23992.9,357,2,Kiraci,1
64,15000.0,22580.21,627,7,Ev Sahibi,1
51,21241.46,8816.98,408,15,Aile,1
49,56406.22,18256.42,578,5,Kiraci,1
42,56787.0,7226.75,627,12,Aile,0
57,51381.86,3963.05,614,22,Ev Sahibi,0
62,30495.36,9986.26,773,21,Ev Sahibi,0
18,44284.33,21899.15,410,21,Ev Sahibi,1
33,44945.96,22625.0,528,15,Kiraci,1
56,27624.53,19104.68,796,15,Aile,1
22,67550.97,20800.77,455,2,Kiraci,1
39,58160.43,19129.43,772,12,Kiraci,0
46,41685.54,9868.15,571,13,Ev Sahibi,1
20,45403.29,18455.38,301,7,Aile,1
29,48125.74,21403.28,810,11,Ev Sahibi,1
43,15000.0,21034.33,585,22,Kiraci,1
33,41292.34,24511.31,312,22,Ev Sahibi,1
54,34770.24,20666.43,797,21,Aile,1
39,29975.7,17811.59,537,20,Ev Sahibi,1
46,40783.5,23561.2,393,7,Aile,1
31,71965.3,14787.83,637,20,Aile,0
45,54612.64,7945.0,470,24,Ev Sahibi,1
22,36432.32,13695.46,766,8,Kiraci,0
64,53588.74,9040.78,442,0,Ev Sahibi,1
47,65990.33,9598.57,500,5,Kiraci,1
63,58869.51,13843.85,479,22,Kiraci,1
22,45894.46,8660.64,663,18,Ev Sahibi,0
29,35295.95,12536.31,778,22,Kiraci,0
33,55473.35,0.0,770,10,Kiraci,0
43,50902.28,16706.35,683,10,Ev Sahibi,0
43,58427.9,15009.64,716,22,Ev Sahibi,0
38,54527.58,8463.29,607,12,Ev Sahibi,0
56,60743.29,20273.97,666,10,Kiraci,0
53,36971.47,22500.56,300,17,Aile,1
50,64760.91,2139.52,343,22,Kiraci,1
47,47963.99,8898.2,397,14,Aile,1
54,76128.91,8846.86,564,0,Ev Sahibi,1
40,34662.18,7480.78,439,20,Aile,1
27,71039.46,21635.8,780,24,Ev Sahibi,0
22,47968.66,13449.39,536,6,Ev Sahibi,1
53,35228.73,12883.88,371,22,Aile,1
51,37741.71,0.0,489,12,Ev Sahibi,1
48,40194.79,20083.34,567,11,Aile,1
27,51362.49,5085.93,620,17,Ev Sahibi,0
36,52842.53,15479.46,406,23,Kiraci,1
49,36394.5,17219.02,531,18,Kiraci,1
18,44634.68,25885.27,341,14,Ev Sahibi,1
22,77134.06,4529.44,438,7,Ev Sahibi,1
62,70913.15,0.0,572,18,Aile,1
21,51544.86,16470.8,780,9,Kiraci,0
33,45570.05,29404.09,715,6,Aile,1
41,46800.47,24911.57,805,17,Ev Sahibi,1
33,54202.77,16677.28,723,15,Ev Sahibi,0
19,29658.11,11066.91,706,19,Aile,0
45,41139.35,21456.98,689,5,Ev Sahibi,1
49,19971.24,7211.63,641,8,Kiraci,0
44,50988.35,18810.86,792,20,Aile,0
37,54707.94,19043.76,491,12,Kiraci,1
41,37752.2,23481.68,798,24,Kiraci,1
29,68609.8,37077.28,532,20,Kiraci,1
52,26613.52,18139.33,526,7,Aile,1
50,23034.38,10928.29,670,15,Ev Sahibi,1
50,48366.78,14795.41,438,12,Kiraci,1
60,60706.47,847.39,448,12,Kiraci,1
54,70258.92,9442.29,414,16,Kiraci,1
29,38116.74,11725.74,749,22,Ev Sahibi,0
20,61180.21,10807.29,362,19,Ev Sahibi,1
18,44422.37,16218.84,403,4,Aile,1
50,42410.59,8420.64,572,21,Ev Sahibi,1
57,58254.9,23968.25,305,20,Aile,1
27,54784.84,15001.66,446,16,Aile,1
60,21354.12,14925.6,483,8,Aile,1
61,67148.11,12376.84,327,1,Aile,1
46,65701.37,16241.53,849,24,Aile,0
30,35616.56,21600.79,418,17,Kiraci,1
29,50937.05,8062.96,592,8,Ev Sahibi,0
48,52410.45,9735.07,670,5,Kiraci,0
63,48910.11,12570.19,543,10,Aile,1
19,36745.42,4233.03,517,24,Ev Sahibi,1
52,34925.65,8445.94,476,5,Kiraci,1
40,44616.69,11190.23,598,5,Kiraci,0
34,62590.94,21995.11,357,12,Aile,1
43,53154.0,17100.49,568,10,Kiraci,1
25,39440.79,16548.72,607,13,Kiraci,1
46,56575.48,21807.18,587,1,Kiraci,0
43,15000.0,13901.03,404,7,Kiraci,1
27,62231.49,18123.72,527,2,Kiraci,1
43,18904.29,14174.23,546,22,Aile,1
51,39563.39,17122.9,793,20,Aile,1
58,28204.95,10337.93,382,2,Kiraci,1
24,25579.78,0.0,485,0,Aile,1
21,62412.4,13925.77,551,23,Aile,1
62,37984.48,26381.99,654,18,Ev Sahibi,1
28,50197.56,22409.72,509,17,Kiraci,1
46,44296.19,22723.18,746,16,Aile,1
53,52155.61,24889.05,759,19,Aile,1
42,46152.33,15709.26,771,23,Kiraci,0
38,25755.12,16578.53,669,12,Ev Sahibi,1
53,59944.0,10058.78,791,2,Kiraci,0
27,37593.65,12471.42,436,0,Ev Sahibi,1
54,21651.27,19926.17,666,3,Kiraci,1
26,38578.27,24631.08,483,24,Kiraci,1
41,67511.4,13884.43,586,12,Kiraci,0
52,57753.33,11398.49,771,16,Kiraci,0
52,39770.22,15004.22,674,10,Ev Sahibi,0
53,39761.13,19809.65,836,1,Ev Sahibi,1
35,40175.47,3449.16,810,24,Aile,0
56,76151.22,0.0,549,15,Kiraci,1
49,50729.03,10595.71,809,1,Ev Sahibi,0
41,51450.62,5234.3,372,18,Ev Sahibi,1
40,60454.25,10934.88,581,22,Ev Sahibi,0
49,48581.84,13817.76,659,18,Kiraci,0
54,41114.37,11374.01,309,24,Aile,1
29,42054.75,26619.74,510,15,Ev Sahibi,1
30,43925.98,17613.96,451,21,Kiraci,1
40,44441.67,17403.79,304,18,Ev Sahibi,1
42,55914.44,19977.66,494,8,Ev Sahibi,1
52,45779.19,5889.34,582,0,Aile,0
58,55989.6,23312.89,763,9,Ev Sahibi,1
47,43789.25,14393.89,412,18,Ev Sahibi,1
34,46179.53,20363.84,570,0,Kiraci,1
37,15026.99,6425.14,462,1,Kiraci,1
42,58744.92,2569.93,759,15,Aile,0
39,50197.33,21543.12,404,11,Kiraci,1
30,59970.15,18011.28,581,7,Kiraci,0
36,15000.0,7783.59,461,22,Aile,1
53,76325.62,8042.7,650,17,Ev Sahibi,0
29,42906.16,24003.48,733,1,Aile,1
58,61622.74,5484.7,439,24,Kiraci,1
